tweet_id,favorites,retweets,timestamp
741743634094141440,7512,2477,2016-06-11 21:27:17+00:00
741438259667034112,3394,739,2016-06-11 01:13:51+00:00
741303864243200000,8081,2900,2016-06-10 16:19:48+00:00
741099773336379392,9158,4983,2016-06-10 02:48:49+00:00
741067306818797568,8808,2791,2016-06-10 00:39:48+00:00
740995100998766593,5785,2448,2016-06-09 19:52:53+00:00
740711788199743490,3130,855,2016-06-09 01:07:06+00:00
740699697422163968,2641,703,2016-06-09 00:19:04+00:00
740676976021798912,16717,6162,2016-06-08 22:48:46+00:00
740373189193256964,32348,12058,2016-06-08 02:41:38+00:00
740365076218183684,2229,384,2016-06-08 02:09:24+00:00
740359016048689152,3031,792,2016-06-08 01:45:19+00:00
740214038584557568,6143,1775,2016-06-07 16:09:13+00:00
739979191639244800,18393,5346,2016-06-07 00:36:02+00:00
739932936087216128,3729,976,2016-06-06 21:32:13+00:00
739844404073074688,3503,783,2016-06-06 15:40:26+00:00
739623569819336705,3479,1231,2016-06-06 01:02:55+00:00
739606147276148736,4954,1484,2016-06-05 23:53:41+00:00
739544079319588864,36236,19121,2016-06-05 19:47:03+00:00
739485634323156992,6557,2625,2016-06-05 15:54:48+00:00
739238157791694849,106399,52435,2016-06-04 23:31:25+00:00
738891149612572673,89,6,2016-06-04 00:32:32+00:00
738885046782832640,3493,1040,2016-06-04 00:08:17+00:00
738883359779196928,3023,715,2016-06-04 00:01:35+00:00
738537504001953792,4674,1383,2016-06-03 01:07:16+00:00
738402415918125056,2990,736,2016-06-02 16:10:29+00:00
738184450748633089,3949,1101,2016-06-02 01:44:22+00:00
738166403467907072,8021,3014,2016-06-02 00:32:39+00:00
738156290900254721,2266,578,2016-06-01 23:52:28+00:00
737826014890496000,4801,1596,2016-06-01 02:00:04+00:00
737800304142471168,9203,3153,2016-06-01 00:17:54+00:00
737678689543020544,4612,1188,2016-05-31 16:14:39+00:00
737445876994609152,9387,4030,2016-05-31 00:49:32+00:00
737322739594330112,3309,726,2016-05-30 16:40:14+00:00
737310737551491075,13430,6699,2016-05-30 15:52:33+00:00
736736130620620800,3856,1532,2016-05-29 01:49:16+00:00
736392552031657984,16229,6612,2016-05-28 03:04:00+00:00
736365877722001409,3643,1104,2016-05-28 01:18:00+00:00
736225175608430592,7453,2525,2016-05-27 15:58:54+00:00
736010884653420544,7208,2685,2016-05-27 01:47:23+00:00
735991953473572864,3282,1030,2016-05-27 00:32:10+00:00
735648611367784448,3716,1003,2016-05-26 01:47:51+00:00
735635087207878657,5627,2125,2016-05-26 00:54:06+00:00
735274964362878976,11984,4511,2016-05-25 01:03:06+00:00
735256018284875776,3049,800,2016-05-24 23:47:49+00:00
735137028879360001,2867,873,2016-05-24 15:55:00+00:00
734912297295085568,2532,471,2016-05-24 01:02:00+00:00
734787690684657664,11491,5723,2016-05-23 16:46:51+00:00
734776360183431168,2310,484,2016-05-23 16:01:50+00:00
734559631394082816,1369,352,2016-05-23 01:40:38+00:00
733828123016450049,3283,712,2016-05-21 01:13:53+00:00
733822306246479872,3377,919,2016-05-21 00:50:46+00:00
733482008106668032,2868,848,2016-05-20 02:18:32+00:00
733460102733135873,3845,1132,2016-05-20 00:51:30+00:00
733109485275860992,49013,15409,2016-05-19 01:38:16+00:00
732732193018155009,2215,479,2016-05-18 00:39:02+00:00
732726085725589504,3279,790,2016-05-18 00:14:46+00:00
732585889486888962,3338,711,2016-05-17 14:57:41+00:00
732375214819057664,7389,2269,2016-05-17 01:00:32+00:00
732005617171337216,13609,4847,2016-05-16 00:31:53+00:00
731285275100512256,3204,897,2016-05-14 00:49:30+00:00
731156023742988288,3528,1138,2016-05-13 16:15:54+00:00
730924654643314689,5614,1776,2016-05-13 00:56:32+00:00
730573383004487680,4438,1904,2016-05-12 01:40:42+00:00
730427201120833536,3186,937,2016-05-11 15:59:50+00:00
730211855403241472,3473,953,2016-05-11 01:44:07+00:00
730196704625098752,4409,1696,2016-05-11 00:43:55+00:00
729854734790754305,3698,1006,2016-05-10 02:05:03+00:00
729838605770891264,1595,338,2016-05-10 01:00:58+00:00
